Proyecto,Vende,Dirección,Tipo,Zona,Alc.,# Gar.,Area,Sub Zona,Piso,Psep13
Mont Jüic Aptos,Mecon,Cl. 12AOe  2A-50,Apto.,Oeste,3,2,237,Santa Teresita,606,"462,820,000"
Vicenzzo,S.I. Prop.Raíz S.A.S.,Cl. 12A Oeste # 2B1-24,Apto.,Oeste,3,2,238,Santa Teresita,Dp403,"630,700,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,238,Aguacatal,3,"457,970,000"
La Pradera,Const. Bolívar,Via Costa Rica,Casa,Campestre,3,2,238,Campestre,1 C49,"594,230,000"
Santangello,Indico,Av. 5 Oest.# 5A-175,Apto.,Oeste,3,2,240,Aguacatal,608,"744,000,000"
Villagrande Morada Campestre,Proyecta Mei,Parc. La Morada,Casa,Jamundi,4,2,240,La Morada,1,"370,000,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,241,Aguacatal,ph11,"518,800,000"
Alferez I,Const. Melendez,Cr. 118 # 20-02,Casa,Sur,3,3,241,Ciudad Jardín,2,"416,240,000"
Terrazas al Parque,Const. Rodanar,Cr. 83 # 13A1-20,Apto.,Sur,3,1,242,Ingenio,4,"360,816,000"
Santiago de Normandia,Indico,Cl. 5 Oe #5A-41,Apto.,Oeste,3,2,242,Aguacatal,203,"567,600,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,4,3,243,Aguacatal,4,"533,300,000"
Ed. El Cedro,Liliana Soto,Cl. 7 Oe # 3-98,Apto.,Oeste,3,3,245,Santa Teresita,403,"594,160,000"
Balc. del Campestre,Cusezar,Cr. 102 # 11-45,Apto.,Sur,3,3,246,Ciudad Jardín,ph16,"600,000,000"
Torre II de Monte Verde,Const. Praga,Av. 4 Oeste # 5-310,Apto.,Oeste,3,3,246,Aguacatal,202,"576,000,000"
Altos del Cerro,G y G Ing. ,Cl. 1B Oe # 4Oe-200,Apto.,Oeste,3,2,246,Aguacatal,9,"549,708,000"
Colinas de Monterrey,Espacio Ideal,Cl. 14 Oeste # 5-250,Casa,Oeste,3,2,246,Cristales,2,"369,000,000"
Edificio Ruby,G y M Consultores,Av. 2 Oe # 12-52,Apto.,Oeste,3,2,247,Santa Teresita,Dp8,"540,092,500"
Lomas de Menga,SPIWAK,Av. 9 # 66-34,Apto.,Norte,2,2,250,La Flora,5,"545,000,000"
Altos de la Umbria III,Const. del Valle ,Cr. 117 Cl. 11A,Casa,Sur,3,2,250,Ciudad Jardín,2,"475,000,000"
Azul Mediterraneo,Const. E Inv. Gómez,Cl. 9B Oe # 4-134,Apto.,Oeste,3,1,250,Cristales,202,"475,000,000"
Nuevas  Casas Alferez I,Const. Melendez,Cr. 15 Cl. 20,Casa,Sur,3,2,251,Ciudad Jardín,2,"437,894,000"
Mir. de Cristales,Gestión Inm.,Cr. 25D # 8Oeste-290,Apto.,Oeste,3,2,252,Cristales,1,"344,000,000"
Mir. de Chipichape,Balc. de Chipichape,Cl. 40 N # 6AN-20,Apto.,Norte,4,1,252,La Flora,ph1202,"586,900,000"
Torre II de Monte Verde,Const. Praga,Av. 4 Oeste # 5-310,Apto.,Oeste,3,3,253,Aguacatal,202,"642,500,000"
Paraiso de la Morada,Const. Bolívar,Parc. Solares la Morada,Casa,Jamundi,3,4,254,La Morada,2 C-33,"407,000,000"
Torre II de Monte Verde,Const. Praga,Av. 4 Oeste # 5-310,Apto.,Oeste,3,3,254,Aguacatal,102,"667,500,000"
Reserva de Normandia,Buenavista Const. Prom.,Av. 6 Oe # 5-170,Apto.,Oeste,4,3,254,Aguacatal,6,"539,507,000"
Ed. Karkasi,Dklar Asociados,Cl. 4a Oeste # 3-81,Apto.,Oeste,3,2,255,Aguacatal,6,"543,000,000"
Samanes del Alferez,Prom. Sta Isabel,Cl. 16A Cr. 125A,Casa,Sur,4,1,255,Ciudad Jardín,2,"346,000,000"
Primavera del Rio,Jaime Alvarez Jaramillo,Cr. 2 Oeste # 13-109,Apto.,Oeste,4,4,255,Santa Teresita,ph7,"552,540,000"
La Morada Cond. Club,Const. Alpes,Parc. La Morada,Casa,Jamundi,3,2,256,La Morada,1,"402,000,000"
Edificio Santa Teresa,Edgar Chavarro Montero,Cl. 12A Oeste # 2A,Apto.,Oeste,3,3,256,Santa Teresita,3,"552,000,000"
Torre II de Monte Verde,Const. Praga,Av. 4 Oeste # 5-310,Apto.,Oeste,3,3,256,Aguacatal,203,"646,500,000"
Casas del Alferez III,Const. Melendez,Cr. 118 # 20-02,Casa,Sur,3,2,256,Ciudad Jardín,2 C30,"522,816,000"
Portal de Jockey II,Const. Melendez,Av. Pasoancho Cr. 106,Casa,Sur,4,1,257,Ciudad Jardín,2,"423,904,000"
Colinas del Viento,Espacio Vital,Cl. 6 # 118-20,Casa,Sur,4,3,261,Ciudad Jardín,2,"320,000,000"
Patios de la Flora ,Apiros,Cl. 52 Av. 5 BN,Apto.,Norte,3,2,261,La Flora,1,"233,256,000"
Santiago de Normandia,Indico,Cl. 5 Oe #5A-41,Apto.,Oeste,3,2,261,Aguacatal,305,"606,900,000"
Terrazas del Alferez,Const. Melendez,Av. Cañasg. - Cr. 114,Casa,Sur,3,2,262,Ciudad Jardín,1,"368,731,000"
Altos del Cerro,G y G Ing. ,Cl. 1B Oe # 4Oe-200,Apto.,Oeste,3,2,262,Aguacatal,1,"373,000,000"
Club de Campo la Morada,JM Inm.,Parc. La Morada,Casa,Jamundi,4,4,264,La Morada,1,"336,000,000"
Farallones de Sta Teresita,Socorro Escobar,Cl. 12A Oeste Cr. 2B,Apto.,Oeste,3,2,264,Santa Teresita,4,"527,900,000"
Terrazas de Morelia,Const. F y F Arq.,Cr. 26 Cl. 8 Oe,Apto.,Oeste,3,3,264,Cristales,302,"802,900,000"
Terrazas de Morelia,Const. F y F Arq.,Cr. 26 Cl. 8 Oe,Apto.,Oeste,3,4,264,Cristales,101,"1,225,770,000"
Terrazas de Morelia,Const. F y F Arq.,Cr. 26 Cl. 8 Oe,Apto.,Oeste,3,4,264,Cristales,501,"1,209,350,000"
Rio Alto,Const. 180 Grados.,Cr. 2 Oe Cl. 13,Apto.,Oeste,3,4,266,Santa Teresita,Ph1202,"731,830,000"
Club de Campo la Morada II,Prom.Nuevo Urbanismo,Parc. La Morada,Casa,Jamundi,4,2,267,La Morada,2,"540,000,000"
Portal de Jockey II,Const. Melendez,Av. Pasoancho Cr. 106,Casa,Sur,4,1,268,Ciudad Jardín,2,"436,928,000"
Bello Horizonte,Const. Melendez,Cl. 19 Cr. 146,Casa,Sur,4,1,268,Ciudad Jardín,2,"462,564,000"
Sheva 7,Turqueza GSP,CL. 13A Cr. 118,Casa,Sur,3,2,269,Ciudad Jardín,2,"608,478,000"
Llanos de Pance Cond. Camp.,Jaramillo Mora,Cl. 4 Av. 10 Mayo,Casa,Sur,3,2,270,Ciudad Jardín,2 C-87,"690,300,000"
Mir. de Cristales,Gestión Inm.,Cr. 25D # 8Oeste-290,Apto.,Oeste,3,2,270,Cristales,1,"344,000,000"
Altos del Cerro,G y G Ing. ,Cl. 1B Oe # 4Oe-200,Apto.,Oeste,3,2,270,Aguacatal,1,"377,000,000"
Aguas Calientes Cond. Camp.,Socorro Escobar,Av. Cañand. Cr. 159,Casa,Sur,4,2,270,Ciudad Jardín,2,"539,000,000"
Torres de Fenicia 2,Artemo y Bienes ,Cr. 1 Oeste # 6-11,Apto.,Oeste,3,2,271,Santa Teresita,901,"646,925,000"
Cantarrana Conj. Resid.,Const. HY&G,Cl. 22A # 121-255,Apto.,Sur,3,2,271,Ciudad Jardín,502,"675,916,800"
Cristallo Towers,Solanillas,Av. Circunv. Cr. 25D,Apto.,Oeste,3,2,271,Cristales,5,"840,410,000"
Porton de la Rivera,Const. Melendez,Cr. 121B y 122 Cl. 4C y Av. Cincurv.,Casa,Sur,3,2,274,Ciudad Jardín,2,"732,000,000"
Portal de la Quebrada,Conciviles,Av. 6 Oeste Cl. 5,Apto.,Oeste,4,3,274,Aguacatal,ph12,"621,000,000"
Portal de la Quebrada,Conciviles,Av. 6 Oeste Cl. 5,Apto.,Oeste,4,3,276,Aguacatal,ph12,"671,120,000"
Rincón de Fatima,Liliana Hurtado,Cr. 180 Av. Cañasgordas,Casa,Sur,4,2,276,Ciudad Jardín,2,"440,000,000"
Santiago del Oeste,Indico,Cl. 1B oeste # 4oes-200,Apto.,Oeste,3,2,276,Aguacatal,"1,002","636,600,000"
Sheva 7,Turqueza GSP,CL. 13A Cr. 118,Casa,Sur,3,2,277,Ciudad Jardín,2,"627,026,000"
Terrazas de Morelia,Const. F y F Arq.,Cr. 26 Cl. 8 Oe,Apto.,Oeste,3,3,278,Cristales,303,"842,720,000"
Riberas del Aguacatal,Socorro Escobar,Av. Aguacatal Cl. 1 Oeste,Apto.,Oeste,3,3,279,Aguacatal,202,"610,000,000"
Altillo III,Viva Inm.,Av. 10 Nte. # 10-29,Apto.,Oeste,3,2,280,Sta Monica Nte,PH8,"644,000,000"
Rincon del Camp. Ed. IV,Const. Melendez,Cr. 98 Cl. 5,Apto.,Sur,3,3,282,Ciudad Jardín,202,"986,064,000"
Cristallo Towers,Solanillas,Av. Circunv. Cr. 25D,Apto.,Oeste,3,2,282,Cristales,5,"874,820,000"
Monticello,Grupo Pijao,Cl. 6 Oeste # 4-300,Casa,Oeste,3,1,283,Aguacatal,3,"465,000,000"
Ed. Zaire,Inverco,Cl. 19N # 10-15,Apto.,Norte,3,2,285,Sta Monica Nte,501,"660,792,000"
Ed. Zaire,Inverco,Cl. 19N # 10-15,Apto.,Norte,3,3,285,Sta Monica Nte,ph802,"773,991,815"
Acuarelas de la Umbria,Prom. Sta Isabel,Cr. 120 Cl. 15  y 16,Casa,Sur,3,2,285,Ciudad Jardín,2,"602,000,000"
Santangello,Indico,Av. 5 Oest.# 5A-175,Apto.,Oeste,3,2,286,Aguacatal,201,"728,750,000"
Ed. San Paolo,Guerrero y Guerrero,Av. 4N # 23N-80,Apto.,Norte,3,2,286,La Flora,6,"449,736,000"
Ed. Tali,Salo Levy,Cl. 21N Av. 9AN,Apto.,Norte,3,2,287,Sta Monica Nte,Ph6,"600,000,000"
Rincon del Camp. Ed. IV,Const. Melendez,Cr. 98 Cl. 5,Apto.,Sur,3,3,287,Ciudad Jardín,702,"1,004,807,000"
Bosq. de Pance,Hérnandez Bohmer,Av. La Maria Cl. 16B,Casa,Sur,4,2,288,Ciudad Jardín,1,"430,000,000"
Monticello,Grupo Pijao,Cl. 6 Oeste # 4-300,Casa,Oeste,3,1,288,Aguacatal,3,"447,000,000"
Terrazas de Morelia,Const. F y F Arq.,Cr. 26 Cl. 8 Oe,Apto.,Oeste,3,3,288,Cristales,301,"875,740,000"
Mont Jüic Aptos,Mecon,Cl. 12AOe  2A-50,Apto.,Oeste,3,2,288,Santa Teresita,210,"524,400,000"
Alameda de Cañasgordas,Socorro Escobar,Cr. 120 # 15-123,Casa,Sur,3,1,290,Ciudad Jardín,2,"600,000,000"
Casa de Campo,Hérnandez Bohmer,Av. La Maria Cl. 16B,Casa,Sur,4,2,291,Ciudad Jardín,1,"454,000,000"
Mir. de Sta Teresita,Const. Bariloche,Cr. 12A Oeste # 2A-90,Casa,Oeste,3,2,291,Santa Teresita,1,"435,000,000"
Monticello,Grupo Pijao,Cl. 6 Oeste # 4-300,Casa,Oeste,3,1,291,Aguacatal,3,"452,000,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,4,3,292,Aguacatal,ph11,"655,000,000"
Monticello,Grupo Pijao,Cl. 6 Oeste # 4-300,Casa,Oeste,3,1,292,Aguacatal,3,"452,000,000"
Edificio Santa Teresa,Edgar Chavarro Montero,Cl. 12A Oeste # 2A,Apto.,Oeste,3,3,295,Santa Teresita,1,"622,000,000"
Colinas del Viento,Espacio Vital,Cl. 6 # 118-20,Casa,Sur,4,3,296,Ciudad Jardín,2,"270,000,000"
Mir. de Sta Teresita,Const. Bariloche,Cr. 12A Oeste # 2A-90,Casa,Oeste,4,2,298,Santa Teresita,1,"445,000,000"
Parque de Normandia,Socorro Escobar,Av. 6 Oeste # 5-170,Apto.,Oeste,3,3,298,Aguacatal,302,"719,000,000"
Santangello,Indico,Av. 5 Oest.# 5A-175,Apto.,Oeste,3,3,300,Aguacatal,"1,003","908,000,000"
Acuarelas de la Maria ,Prom. Sta Isabel,Av. La Maria y Banco Cl. 16A,Casa,Sur,3,2,300,Ciudad Jardín,2,"725,000,000"
Aldebaran,Julia Isabel Guzman,Av. 10 Nte. # 21N-95,Apto.,Norte,3,3,301,Sta Monica Nte,401,"1,028,350,000"
Casa de Campo,Hérnandez Bohmer,Av. La Maria Cl. 16B,Casa,Sur,4,2,305,Ciudad Jardín,1,"520,000,000"
Club de Campo la Morada II,Prom.Nuevo Urbanismo,Parc. La Morada,Casa,Jamundi,4,2,305,La Morada,2,"620,000,000"
Piedralinda Cond. Camp.,Const. Piedralinda,Cr. 154 Cl. 20 y 22,Casa,Sur,3,2,305,Ciudad Jardín,2,"585,000,000"
Monticello,Grupo Pijao,Cl. 6 Oeste # 4-300,Casa,Oeste,3,1,306,Aguacatal,3,"550,000,000"
Altos del Cerro,G y G Ing. ,Cl. 1B Oe # 4Oe-200,Apto.,Oeste,3,2,306,Aguacatal,6,"657,563,000"
Bagatell,Const. Melendez,Av. Pasoancho Cr. 107,Apto.,Sur,3,4,307,Ciudad Jardín,ph11,"570,000,000"
Mir. de Sta Teresita,Const. Bariloche,Cr. 12A Oeste # 2A-90,Casa,Oeste,4,2,310,Santa Teresita,1,"440,000,000"
Monticello,Grupo Pijao,Cl. 6 Oeste # 4-300,Casa,Oeste,3,1,315,Aguacatal,3,"590,000,000"
Parque de Normandia,Socorro Escobar,Av. 6 Oeste # 5-170,Apto.,Oeste,3,4,320,Aguacatal,3,"858,000,000"
Torre II de Monte Verde,Const. Praga,Av. 4 Oeste # 5-310,Apto.,Oeste,3,3,320,Aguacatal,703,"807,000,000"
Sheva 7,Turqueza GSP,CL. 13A Cr. 118,Casa,Sur,4,2,321,Ciudad Jardín,3,"727,725,000"
Bagatell,Const. Melendez,Av. Pasoancho Cr. 107,Apto.,Sur,3,4,324,Ciudad Jardín,ph11,"590,000,000"
Rincon de la Pilarica,Inv. Canada ,Cr. 122  # 12-100 ,Casa,Sur,4,2,326,Ciudad Jardín,2,"590,000,000"
Portal de Jockey II,Const. Melendez,Av. Pasoancho Cr. 106,Casa,Sur,4,1,327,Ciudad Jardín,2,"438,867,000"
Monticello,Grupo Pijao,Cl. 6 Oeste # 4-300,Casa,Oeste,3,1,327,Aguacatal,3,"650,700,000"
Villas del Country,Grupo Pijao,Cr. 125 Cl. 18 Esq.,Casa,Sur,3,2,328,Ciudad Jardín,2,"495,000,000"
Rincon del Camp. Ed. III,Const. Melendez,Cr. 98 Cl. 5,Apto.,Sur,3,4,331,Ciudad Jardín,202,"997,236,000"
Bosques de la Viga,Artemo y Bienes ,Av. Cañasgordas Cr. 154,Casa,Sur,4,2,334,Ciudad Jardín,2,"655,322,720"
Santangello,Indico,Av. 5 Oest.# 5A-175,Apto.,Oeste,3,3,334,Aguacatal,"1,004","1,556,000,000"
Colinas del Viento,Espacio Vital,Cl. 6 # 118-20,Casa,Sur,4,3,336,Ciudad Jardín,3,"370,000,000"
Buganvilias,Espacio Vital,Cl. 15 - 17 Cr. 114,Casa,Sur,3,2,337,Ciudad Jardín,2,"479,000,000"
Remanso de la Colina,Espacio Vital,Cl. 5 y 6 Cr. 118,Casa,Sur,3,2,337,Ciudad Jardín,2,"548,000,000"
Monticello,Grupo Pijao,Cl. 6 Oeste # 4-300,Casa,Oeste,3,1,339,Aguacatal,3,"541,000,000"
Parque de Normandia,Socorro Escobar,Av. 6 Oeste # 5-170,Apto.,Oeste,3,3,342,Aguacatal,6,"848,000,000"
Monticello,Grupo Pijao,Cl. 6 Oeste # 4-300,Casa,Oeste,3,1,342,Aguacatal,3,"717,000,000"
Primavera del Rio,Jaime Alvarez Jaramillo,Cr. 2 Oeste # 13-109,Apto.,Oeste,4,4,343,Santa Teresita,ph10,"744,000,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,4,3,347,Aguacatal,ph11,"637,172,000"
Bosque de la Rivera,Const. Melendez,Cr. 121A Cl. 6,Casa,Sur,4,2,352,Ciudad Jardín,2,"523,010,000"
Bosque de la Rivera II,Const. Melendez,Cr. 121A Cl. 6,Casa,Sur,4,2,353,Ciudad Jardín,2,"600,900,000"
Bosque de la Rivera,Const. Melendez,Cr. 121A Cl. 6,Casa,Sur,4,2,356,Ciudad Jardín,2,"478,200,000"
Bosque de la Rivera II,Const. Melendez,Cr. 121A Cl. 6,Casa,Sur,4,2,357,Ciudad Jardín,2,"609,907,000"
Santiago de Normandia,Indico,Cl. 5 Oe #5A-41,Apto.,Oeste,3,2,360,Aguacatal,11,"750,000,000"
Forestal Club,Jaramillo Mora,Via Cali - Rozo,Casa,Campestre,4,2,368,Campestre,1 C26,"834,700,000"
Mistral Aptos,Inv. Velar,Cr. 72 # 13A-50,Apto.,Sur,3,2,370,Ingenio,Ph12,"720,000,000"
Aldebaran,Julia Isabel Guzman,Av. 10 Nte. # 21N-95,Apto.,Norte,3,3,370,Sta Monica Nte,401,"1,373,400,000"
Cond. Camp. Palmeto,Const. Palmeto,Cl. 18 #. 125A - 120,Casa,Sur,3,2,373,Ciudad Jardín,2,"532,000,000"
Montevechio,Grupo Pijao,Cl. 6 Oeste # 4-300,Apto.,Oeste,3,2,376,Aguacatal,404,"790,000,000"
San Sebastian Villas en Cond.,IES de Occidente,Cl. 18 Callejon Chuchas,Casa,Sur,3,2,376,Ciudad Jardín,1,"700,000,000"
Monticello,Grupo Pijao,Cl. 6 Oeste # 4-300,Casa,Oeste,3,1,378,Aguacatal,3,"721,000,000"
Santiago de Compostela,Mecon,Cl. 14 Oeste # 2B-18,Apto.,Oeste,4,3,380,Santa Teresita,ph12,"689,000,000"
Valgranda Condominio,Proy. Y Const. San José,Cr. 114B # 17-100,Apto.,Sur,4,3,380,Ciudad Jardín,Dp201A,"1,178,279,000"
Reserva de Cristales,Solanillas,Av. Cerros Cr. 26 y 25F,Apto.,Oeste,3,2,396,Cristales,ph11,"1,007,000,000"
Torre II de Monte Verde,Const. Praga,Av. 4 Oeste # 5-310,Apto.,Oeste,4,3,402,Aguacatal,Ph12,"1,200,000,000"
Cond. Camp. Llano de Piedra,Const. San Marcos,Cr. 142 Cl. 21 - 22,Casa,Sur,4,2,403,Ciudad Jardín,2,"720,000,000"
Aldebaran,Julia Isabel Guzman,Av. 10 Nte. # 21N-95,Apto.,Norte,3,4,404,Sta Monica Nte,401,"1,368,400,000"
Riberas del Aguacatal,Socorro Escobar,Av. Aguacatal Cl. 1 Oeste,Apto.,Oeste,3,2,410,Aguacatal,8,"646,000,000"
Altavista de Normandia,Jaramillo Mora,Av. 6 Oeste # 5-200,Apto.,Oeste,3,2,412,Aguacatal,Ph1204,"1,195,000,000"
Ed. San Paolo,Guerrero y Guerrero,Av. 4N # 23N-80,Apto.,Norte,3,2,413,La Flora,ph9,"644,362,000"
Reserva de Cristales,Solanillas,Av. Cerros Cr. 26 y 25F,Apto.,Oeste,3,2,414,Cristales,ph11,"1,045,438,000"
Rincon de la Pilarica,Inv. Canada ,Cr. 122  # 12-100 ,Casa,Sur,4,2,416,Ciudad Jardín,1,"730,000,000"
Cond. Camp. Palmeto,Const. Palmeto,Cl. 18 #. 125A - 120,Casa,Sur,4,2,420,Ciudad Jardín,3,"580,000,000"
Torre II de Monte Verde,Const. Praga,Av. 4 Oeste # 5-310,Apto.,Oeste,4,3,427,Aguacatal,Ph12,"1,300,000,000"
Santa Maria,Const. Melendez,Av. 5 Oe # 4A-15,Apto.,Oeste,4,6,428,Aguacatal,DP601,"1,156,444,000"
Reserva del Oeste,Grupo Alan,Av. 12 Oe # 6 Oe-18,Apto.,Oeste,4,4,430,Aguacatal,Ph12,"1,155,000,000"
Cond. Entre Rios,Guerrero y Guerrero,Cr. 122 Cl. 3,Casa,Sur,4,1,450,Ciudad Jardín,2,"655,000,000"
Arboleda Reservado,Skema,Cr. 3 Oeste # 7-87,Apto.,Oeste,4,4,460,Santa Teresita,401,"1,736,000,000"
Atelier Edificio,JM Inm.,Av. 10A Nte. # 7-64,Apto.,Oeste,4,4,468,Sta Monica Nte,Ph8,"1,032,330,000"
Riberas del Aguacatal,Socorro Escobar,Av. Aguacatal Cl. 1 Oeste,Apto.,Oeste,4,2,514,Aguacatal,6,"1,040,000,000"
Rincon del Camp. Ed. IV,Const. Melendez,Cr. 98 Cl. 5,Apto.,Sur,4,3,517,Ciudad Jardín,Dp1302,"1,872,996,000"
Arboleda Reservado,Skema,Cr. 3 Oeste # 7-87,Apto.,Oeste,4,5,575,Santa Teresita,102,"2,300,000,000"
Parque de Normandia,Socorro Escobar,Av. 6 Oeste # 5-170,Apto.,Oeste,4,4,646,Aguacatal,1,"1,500,000,000"
