Proyecto,Vende,Dirección,Tipo,Zona,Alc.,# Gar.,Area,Sub Zona,Piso,Psep13
Palmera Real Casas Indep.,Const. Melendez,Cr. 83C Cl. 42,Casa,Sur,3,1,139,Caney,2,"191,474,000"
Valgranda Condominio,Proy. Y Const. San José,Cr. 114B # 17-100,Apto.,Sur,3,2,139,Ciudad Jardín,202A,"411,790,000"
San Antonio del Peñon,Const. Inm. Providencia,Cr. 4 Oeste # 1-65,Apto.,Oeste,3,2,140,Cristales,3,"227,000,000"
El Melao,Hérnandez Bohmer,Cr. 85C Bis # 14A-07,Casa,Sur,4,2,140,Ingenio,1,"165,000,000"
Torre Espiga,Const. Escalada,Cr. 70 # 13A-50,Apto.,Sur,3,1,140,Ingenio,6,"281,600,000"
Lomas de Menga,SPIWAK,Av. 9 # 66-34,Apto.,Norte,3,2,140,La Flora,5,"272,300,000"
Alameda del Lili,Const. Alpes,Cl. 28 Cr. 98 - 98C,Casa,Sur,3,1,140,Caney,2,"160,000,000"
Altomonte,Amarilo,Cr. 56 # 1A Oeste-50,Casa,Sur,4,1,140,El Refugio,3,"254,000,000"
La Pradera,Const. Bolívar,Via Costa Rica,Casa,Campestre,3,2,140,Campestre,1 C49,"473,710,000"
Hojarasca Parq. Resid.,JM Inm.,Cr. 37 Cl. 8 Oeste,Apto.,Oeste,3,2,141,Cristales,101,"296,434,000"
Mir. de Cristales,Gestión Inm.,Cr. 25D # 8Oeste-290,Apto.,Oeste,3,2,141,Cristales,2,"247,000,000"
Guadalquivir ,Skema,Cr. 98B # 34-53,Casa,Sur,3,2,141,Caney,3,"192,500,000"
Sendero de Kerala,Socorro Escobar,Av. Maria Av. Cañasgordas,Apto.,Sur,3,2,141,Ciudad Jardín,303,"322,000,000"
Norten,Ing. Const. Centenario,Av. 10 N # 7-62,Apto.,Oeste,2,2,141,Sta Monica Nte,D504,"247,793,000"
Portales del Castillo ,Const. El Castillo,Via Cali - Jamundi,Casa,Jamundi,3,2,142,La Morada,1 C66,"303,100,000"
Reserva de Chipichape,Solanillas,Av. 6D #39-00,Apto.,Norte,3,2,142,La Flora,1203 B,"425,324,685"
Vicenzzo,S.I. Prop.Raíz S.A.S.,Cl. 12A Oeste # 2B1-24,Apto.,Oeste,3,2,142,Santa Teresita,507,"376,300,000"
Terrazas de Sta Teresita,Const. Bolívar,Cl. 1A Oeste Cr. 2D,Apto.,Oeste,3,2,142,Santa Teresita,2,"195,000,000"
Torres de Camelot,Corasa ,Av. Circ. Cr. 37,Apto.,Oeste,3,2,142,Cristales,402,"290,000,000"
Ciud. Camp. Hda. el Castillo ,Const. El Castillo,Via Cali - Jamundi,Casa,Jamundi,3,1,142,La Morada,2,"238,000,000"
Lomas de Menga,SPIWAK,Av. 9 # 66-34,Apto.,Norte,3,2,142,La Flora,5,"276,930,000"
Alcañiz Edificio,JM Inm.,Av. 3A # 14-48 Oeste,Apto.,Oeste,3,2,142,Santa Teresita,4,"269,048,000"
Ed. Zaire,Inverco,Cl. 19N # 10-15,Apto.,Norte,3,2,142,Sta Monica Nte,402,"290,042,000"
Norten,Ing. Const. Centenario,Av. 10 N # 7-62,Apto.,Oeste,3,2,142,Sta Monica Nte,D101,"320,265,000"
Mont Jüic Aptos,Mecon,Cl. 12AOe  2A-50,Apto.,Oeste,3,2,142,Santa Teresita,406,"344,920,000"
Reserva de Chipichape,Solanillas,Av. 6D #39-00,Apto.,Norte,3,2,142,La Flora,Ph 1403,"507,470,594"
Santorino Club House,Habitek,Cl. 20 # 118-285,Apto.,Sur,3,2,142,Ciudad Jardín,101,"369,293,000"
Siete Maravillas III.,AM Constr. S.A.,Cr. 80 # 13A-29,Apto.,Sur,3,2,143,Ingenio,601,"370,000,000"
Farallones 22 Villa Camp.,Buenavista Const. Prom.,Cr. 127 Cl 8A,Casa,Sur,3,2,143,Ciudad Jardín,2,"350,000,000"
Torres de Camelot,Corasa ,Av. Circ. Cr. 37,Apto.,Oeste,3,2,143,Cristales,704,"302,593,169"
Lomas de Menga,SPIWAK,Av. 9 # 66-34,Apto.,Norte,3,2,143,La Flora,5,"293,370,000"
Rincón de Ciudad Jardin,Inm. Ciudad Jardin,Cr. 100 Cl. 19,Apto.,Sur,3,1,143,Ciudad Jardín,6,"186,168,000"
Alameda del Palmar,Ramírez Caicedo,Cl. 53 # 1-126,Apto.,Norte,3,1,143,Calima,4,"114,000,000"
Altillo III,Viva Inm.,Av. 10 Nte. # 10-29,Apto.,Oeste,3,2,143,Sta Monica Nte,401,"321,750,000"
Altos de Guadalupe Cond. Camp.,Jaramillo Mora,Cr- 56 Cl. 1 y 3,Casa,Sur,3,1,143,El Refugio,2 C-140,"307,000,000"
Sol de la Arboleda,Const. Melendez,Vía Panamericana - Entrada Jamundí,Casa,Jamundi,3,2,143,La Morada,2 C-47,"232,743,000"
Sol de la Arboleda,Const. Melendez,Vía Panamericana - Entrada Jamundí,Casa,Jamundi,3,2,143,La Morada,2,"240,000,000"
Tierra Alta,Mecon,Cl. 9A Oe #38-120,Apto.,Oeste,3,2,144,Cristales,505,"359,720,000"
Forestal Club,Jaramillo Mora,Via Cali - Rozo,Casa,Campestre,3,2,144,Campestre,1 C26,"587,000,000"
Tor. del Bosq. Tor. C,Inv. Const. Renacer,Cr. 3 # 15-15 Oeste,Apto.,Oeste,3,2,144,Santa Teresita,10,"250,000,000"
Mayoral del Viento,Axial Const.,Av. 5 Oe # 5-40,Apto.,Oeste,3,2,144,Aguacatal,204,"316,800,000"
Norten,Ing. Const. Centenario,Av. 10 N # 7-62,Apto.,Oeste,2,2,144,Sta Monica Nte,D502,"254,018,000"
Sendero de Kerala,Bienco,Av. Maria Av. Cl. 19 y 20,Apto.,Sur,3,2,144,Ciudad Jardín,301,"293,030,000"
Rio Oeste Edif. De Aptos.,Const. Melendez,Av. Rio Cr. 2a y 2 Oeste,Apto.,Oeste,3,2,144,Santa Teresita,602,"388,000,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,145,Aguacatal,8,"258,000,000"
Plazuela de la María,Prom.Nuevo Urbanismo,Av. La María Cl. 16A,Apto.,Sur,3,2,145,Ciudad Jardín,201,"300,000,000"
Oasis de Cristales,Const. Bariloche,Cr. 37 # 1-82,Apto.,Oeste,3,2,145,Cristales,202,"330,000,000"
Altopance  Town - House Casas,Prom.Nuevo Urbanismo,Cl. Chuhas  Cl. 16A,Casa,Sur,3,2,145,Ciudad Jardín,3,"267,500,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,146,Aguacatal,5,"253,520,000"
Terrabella ,Buenavista Const. Prom.,Cl. 42 Cr. 99,Casa,Sur,4,1,146,Caney,3,"188,000,000"
Remanso de Ciudad Jardin,Trujillo Serrano,Cr. 112 # 22A-41,Casa,Sur,3,2,146,Ciudad Jardín,3,"247,520,000"
Oasis de Cristales,Const. Bariloche,Cr. 37 # 1-82,Apto.,Oeste,3,2,146,Cristales,101,"315,000,000"
Valgranda Condominio,Proy. Y Const. San José,Cr. 114B # 17-100,Apto.,Sur,3,2,146,Ciudad Jardín,203A,"432,411,000"
Verdanza Cond. Camp.,Const. Alpes,Av. La Voragine Av. Cañasgordas,Apto.,Sur,3,2,146,Ciudad Jardín,202,"386,500,000"
Farallones 22 Villa Camp.,Buenavista Const. Prom.,Cr. 127 Cl 8A,Casa,Sur,3,2,146,Ciudad Jardín,2,"360,000,000"
Oasis de Arboleda,Socorro Escobar,Cr. 2 Oeste # 7-51,Apto.,Oeste,3,2,147,Santa Teresita,4,"247,000,000"
Ed. San Paolo,Guerrero y Guerrero,Av. 4N # 23N-80,Apto.,Norte,3,1,147,La Flora,3,"228,636,000"
Casas Grandes el Caney,Axial Const.,Cr. 83A Cl. 45,Casa,Sur,3,1,147,Caney,2,"145,000,000"
Vicenzzo,S.I. Prop.Raíz S.A.S.,Cl. 12A Oeste # 2B1-24,Apto.,Oeste,3,2,147,Santa Teresita,707,"404,250,000"
Tierra Alta,Mecon,Cl. 9A Oe #38-120,Apto.,Oeste,3,2,148,Cristales,502,"347,840,000"
Mir. de Chipichape,Balc. de Chipichape,Cl. 40 N # 6AN-20,Apto.,Norte,4,1,148,La Flora,4,"265,700,000"
Brisas del Oeste,Sol. Urbanas,Cl. 2 Oe # 13-27,Apto.,Oeste,3,2,148,Santa Teresita,402,"304,000,000"
Valgranda Condominio,Proy. Y Const. San José,Cr. 114B # 17-100,Apto.,Sur,3,2,148,Ciudad Jardín,101A,"430,215,000"
Molinos de Santa Teresita,Jaramillo Mora,Cl. 17 Oeste  Cr. 1 Oes. Y Cr. 3 Oes.,Apto.,Oeste,3,2,148,Santa Teresita,602 C,"396,500,000"
Colinas de Chipichape,Jaime Cardenas,Av. 7 Nte # 40N-17,Casa,Norte,3,2,148,La Flora,3,"252,000,000"
Terrazas de Salvaterra ,Const. Artefacto,Cl. 6 Oeste  6-63,Apto.,Oeste,3,2,149,Santa Teresita,PH801,"573,350,000"
Santiago de Compostela,Mecon,Cl. 14 Oeste # 2B-18,Apto.,Oeste,3,2,149,Santa Teresita,4,"435,000,000"
Lomas de Menga,SPIWAK,Av. 9 # 66-34,Apto.,Norte,3,2,149,La Flora,606,"296,500,000"
Santiago del Oeste,Indico,Cl. 1B oeste # 4oes-200,Apto.,Oeste,3,2,149,Aguacatal,101,"290,250,000"
Ed. Paletara,JM Inm.,Cl. 6 Oe # 6-05,Apto.,Oeste,3,2,149,Cristales,403,"343,451,000"
Tierra Alta,Mecon,Cl. 9A Oe #38-120,Apto.,Oeste,3,2,150,Cristales,506,"373,000,000"
Torres de la Arboleda,Grupo Pijao,Cr. 3 Oeste # 7-52,Apto.,Oeste,3,1,150,Santa Teresita,8,"297,888,420"
Edificio Thilanka,JM Inm.,Cl. 13 Oeste # 1-14,Apto.,Oeste,3,3,150,Santa Teresita,3,"313,248,000"
Alameda del Palmar,Ramírez Caicedo,Cl. 53 # 1-126,Apto.,Norte,3,1,150,Calima,5,"111,000,000"
Horizontes,Const. Perthell Gonzales,Cr. 116 Cl. 19,Apto.,Sur,3,2,150,Ciudad Jardín,3,"289,908,800"
Sol de Primavera,Const. Melendez,Vía Panamericana - Entrada Jamundí,Casa,Jamundi,3,2,150,La Morada,2,"224,907,000"
Torres de la Arboleda,Grupo Pijao,Cr. 3 Oeste # 7-52,Apto.,Oeste,3,1,151,Santa Teresita,6,"279,300,000"
Sta. Marìa de los Farallones,Const. Perthell Gonzales,Cr. 37 Cl. 8 Oeste,Apto.,Oeste,3,2,151,Cristales,1,"236,000,000"
Remanso de Ciudad Jardin,Trujillo Serrano,Cr. 112 # 22A-41,Casa,Sur,3,2,151,Ciudad Jardín,3,"256,343,000"
Colinas de Chipichape,Jaime Cardenas,Av. 7 Nte # 40N-17,Casa,Norte,3,2,151,La Flora,3,"257,000,000"
Sendero de Kerala,Socorro Escobar,Av. Maria Av. Cañasgordas,Apto.,Sur,3,2,151,Ciudad Jardín,301,"348,000,000"
Mont Jüic Aptos,Mecon,Cl. 12AOe  2A-50,Apto.,Oeste,3,2,151,Santa Teresita,405,"351,801,000"
Terrazas de Salvaterra ,Const. Artefacto,Cl. 6 Oeste  6-63,Apto.,Oeste,3,2,151,Santa Teresita,401,"404,600,000"
Terrazas de Salvaterra ,Const. Artefacto,Cl. 6 Oeste  6-63,Apto.,Oeste,3,2,151,Santa Teresita,202,"487,600,000"
Plazuela de Cañasgordas C,Marval,Cr. 101 Cl. 19,Casa,Sur,3,2,152,Ciudad Jardín,3,"266,075,000"
Norten,Ing. Const. Centenario,Av. 10 N # 7-62,Apto.,Oeste,2,2,152,Sta Monica Nte,D509,"266,933,000"
Valgranda Condominio,Proy. Y Const. San José,Cr. 114B # 17-100,Apto.,Sur,3,3,152,Ciudad Jardín,204 A,"379,727,000"
Cataya Real,Vindico,Cl. 17A # 121-30,Apto.,Sur,3,2,153,Ciudad Jardín,201,"356,000,000"
Vicenzzo,S.I. Prop.Raíz S.A.S.,Cl. 12A Oeste # 2B1-24,Apto.,Oeste,3,2,153,Santa Teresita,504,"413,100,000"
Portal de Jockey II,Const. Melendez,Av. Pasoancho Cr. 106,Casa,Sur,3,1,153,Ciudad Jardín,2,"359,418,000"
Villas de San Joaquin,Inv. Amnis,Cr. 86 # 18-100,Casa,Sur,3,2,153,Ingenio,1,"180,000,000"
Mir. de Cristales,Gestión Inm.,Cr. 25D # 8Oeste-290,Apto.,Oeste,3,2,153,Cristales,1,"270,000,000"
Lagos del Polo II,Const. Melendez,Av. Pasoancho Cr. 107,Apto.,Sur,3,2,153,Ciudad Jardín,402,"328,369,000"
Tor. del Bosq. Tor. C,Inv. Const. Renacer,Cr. 3 # 15-15 Oeste,Apto.,Oeste,3,2,153,Santa Teresita,3,"293,000,000"
Rincón de Ciudad Jardin,Inm. Ciudad Jardin,Cr. 100 Cl. 19,Casa,Sur,3,1,153,Ciudad Jardín,2,"246,400,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,154,Aguacatal,5,"238,000,000"
Canto del Río,Const. Melendez,Cr. 1 Oe Cr. 2,Apto.,Oeste,3,2,154,Santa Teresita,602,"359,597,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,155,Aguacatal,1,"289,000,000"
Palmas de Mallorca,Ramírez Caicedo,Cl. 53 # 1-91,Apto.,Norte,3,1,155,Calima,5,"73,300,000"
EL Alminar de la Flora,Giraldo Salazar,Cl. 41N # 4N-170,Apto.,Norte,3,2,155,La Flora,ph8,"234,207,000"
La Riviere Avenue,Jaime Cardenas,Cl. 11 Oe Cr. 1 - 2,Apto.,Oeste,3,2,155,Santa Teresita,602,"355,440,215"
Flor de Caña,Ramírez Caicedo,Cl. 53 # 1-96,Apto.,Norte,3,1,155,Calima,"1,001","165,000,000"
Parque de las Flores,Const. Bolívar,Av. 4N  Cl. 64 y 67,Apto.,Norte,3,1,155,La Flora,504D,"340,250,000"
Cantarrana Conj. Resid.,Const. HY&G,Cl. 22A # 121-255,Apto.,Sur,3,2,155,Ciudad Jardín,201,"376,859,280"
Valgranda Condominio,Proy. Y Const. San José,Cr. 114B # 17-100,Apto.,Sur,3,3,155,Ciudad Jardín,203 A,"384,799,000"
Reserva de Chipichape,Solanillas,Av. 6D #39-00,Apto.,Norte,3,2,156,La Flora,104 B,"423,092,716"
Los Cristales Club Res.,Amarilo,Av. Circ. Cr. 38,Casa,Oeste,3,2,156,Cristales,1,"265,200,000"
Torre II de Monte Verde,Const. Praga,Av. 4 Oeste # 5-310,Apto.,Oeste,1,2,156,Aguacatal,Dp101,"340,000,000"
Altopance  Town - House Casas,Prom.Nuevo Urbanismo,Cl. Chuhas  Cl. 16A,Casa,Sur,3,2,156,Ciudad Jardín,3,"290,000,000"
Terrazas de Salvaterra ,Const. Artefacto,Cl. 6 Oeste  6-63,Apto.,Oeste,3,2,157,Santa Teresita,203,"503,850,000"
Plazuela de Cañasgordas C,Marval,Cr. 101 Cl. 19,Casa,Sur,3,2,157,Ciudad Jardín,3,"272,200,000"
Horizontes,Const. Perthell Gonzales,Cr. 116 Cl. 19,Apto.,Sur,3,2,157,Ciudad Jardín,2,"307,008,000"
Palmera Real Casas Indep.,Const. Melendez,Cr. 83C Cl. 42,Casa,Sur,3,1,157,Caney,2,"227,268,000"
Mont Jüic Aptos,Mecon,Cl. 12AOe  2A-50,Apto.,Oeste,3,2,157,Santa Teresita,210,"299,590,000"
Torres de la Arboleda,Grupo Pijao,Cr. 3 Oeste # 7-52,Apto.,Oeste,3,1,158,Santa Teresita,6,"288,499,520"
Guadalquivir ,Skema,Cr. 98B # 34-53,Casa,Sur,3,2,158,Caney,3,"216,578,000"
Horizontes,Const. Perthell Gonzales,Cr. 116 Cl. 19,Apto.,Sur,3,2,158,Ciudad Jardín,1,"324,665,000"
Altopance,Prom.Nuevo Urbanismo,Cl. Chuhas  Cl. 16A,Apto.,Sur,3,2,158,Ciudad Jardín,101,"284,500,000"
Canto del Río,Const. Melendez,Cr. 1 Oe Cr. 2,Apto.,Oeste,3,2,158,Santa Teresita,601,"380,877,200"
Bilbao Edificio,Habitek,Av. 10 N # 7N-40,Apto.,Oeste,3,2,159,Sta Monica Nte,305,"302,100,000"
Santiago del Oeste,Indico,Cl. 1B oeste # 4oes-200,Apto.,Oeste,3,2,159,Aguacatal,902,"365,850,000"
Canto del Río,Const. Melendez,Cr. 1 Oe Cr. 2,Apto.,Oeste,3,2,159,Santa Teresita,603,"390,316,100"
Valgranda Condominio,Proy. Y Const. San José,Cr. 114B # 17-100,Apto.,Sur,3,3,159,Ciudad Jardín,202 A,"396,730,000"
Verdanza Cond. Camp.,Const. Alpes,Av. La Voragine Av. Cañasgordas,Apto.,Sur,3,2,160,Ciudad Jardín,203,"429,512,500"
Lombardia Club House,Habitek,Cl. 20 # 118-285,Apto.,Sur,3,2,160,Ciudad Jardín,301,"402,000,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,160,Aguacatal,2,"248,000,000"
Montevechio,Grupo Pijao,Cl. 6 Oeste # 4-300,Apto.,Oeste,3,2,160,Aguacatal,3,"296,000,000"
Oasis de Arboleda,Socorro Escobar,Cr. 2 Oeste # 7-51,Apto.,Oeste,3,2,160,Santa Teresita,2,"313,000,000"
Ed. La Cumbre,JM Inm.,Cl. 6 Oeste Cr. 5,Apto.,Oeste,3,2,160,Cristales,1,"333,848,000"
Plaza del Saman,Ramírez Caicedo,Cl. 53 # 1-91,Apto.,Norte,4,1,160,Calima,8,"127,000,000"
Plazuela de Cañasgordas C,Marval,Cr. 101 Cl. 19,Casa,Sur,3,2,160,Ciudad Jardín,3,"280,000,000"
Rio Alto,Const. 180 Grados.,Cr. 2 Oe Cl. 13,Apto.,Oeste,3,2,160,Santa Teresita,602,"446,544,000"
Bosq. del Oeste,Jaramillo Mora,Cl. 6 Oeste # 10-85,Apto.,Oeste,3,2,161,Aguacatal,5,"315,410,000"
Torres de Camelot,Corasa ,Av. Circ. Cr. 37,Apto.,Oeste,3,2,161,Cristales,102,"297,573,304"
Patios de la Flora ,Apiros,Cl. 52 Av. 5 BN,Apto.,Norte,3,2,161,La Flora,101,"248,563,000"
Paraiso de la Morada,Const. Bolívar,Parc. Solares la Morada,Casa,Jamundi,3,4,161,La Morada,1 C-31,"324,150,000"
Porton de Santa Teresita,Artemo y Bienes ,Av. 3 Oeste Cl 10,Apto.,Oeste,3,2,161,Santa Teresita,4,"366,000,000"
Altos del Cerro,G y G Ing. ,Cl. 1B Oe # 4Oe-200,Apto.,Oeste,3,2,161,Aguacatal,6,"326,611,000"
Sol de la Arboleda,Const. Melendez,Vía Panamericana - Entrada Jamundí,Casa,Jamundi,3,2,162,La Morada,2 C-62,"252,000,000"
Portales del Castillo ,Const. El Castillo,Via Cali - Jamundi,Casa,Jamundi,3,2,162,La Morada,2 C20,"341,700,000"
Villas de San Joaquin,Inv. Amnis,Cr. 86 # 18-100,Casa,Sur,3,2,162,Ingenio,1,"182,250,000"
El Arado,Const. Melendez,Cr. 86 Cl. 17,Apto.,Sur,3,3,162,Ingenio,ph7,"232,000,000"
San Giorgio,Habitek,Cr. 67 Cl. 13B,Apto.,Sur,3,1,162,Ingenio,5,"198,000,000"
